tweet,rating
Why is so much money sent to the Elijah Cummings district when it is considered the worst run and most dangerous anywhere in the United States. No human being would want to live there. Where is all this money going? How much is stolen? Investigate this corrupt mess immediately!,1
"....As proven last week during a Congressional tour, the Border is clean, efficient & well run, just very crowded. Cumming District is a disgusting, rat and rodent infested mess. If he spent more time in Baltimore, maybe he could help clean up this very dangerous & filthy place",1
"Rep, Elijah Cummings has been a brutal bully, shouting and screaming at the great men & women of Border Patrol about conditions at the Southern Border, when actually his Baltimore district is FAR WORSE and more dangerous. His district is considered the Worst in the USA......",1
"Wow! Big VICTORY on the Wall. The United States Supreme Court overturns lower court injunction, allows Southern Border Wall to proceed. Big WIN for Border Security and the Rule of Law!",0
"Today, President Trump announced a safe third country agreement with Guatemala that will put human smugglers out of business and provide safety for legitimate asylum seekers.pic.twitter.com/ENAifXfvRz",0
The WTO is BROKEN when the world’s RICHEST countries claim to be developing countries to avoid WTO rules and get special treatment. NO more!!! Today I directed the U.S. Trade Representative to take action so that countries stop CHEATING the system at the expense of the USA!,1
"Great morning at the Pentagon yesterday. Congratulations to our new Defense Secretary, Mark @EsperDoD!pic.twitter.com/zqtA4XytJA",0
"France just put a digital tax on our great American technology companies. If anybody taxes them, it should be their home Country, the USA. We will announce a substantial reciprocal action on Macron’s foolishness shortly. I’ve always said American wine is better than French wine!",1
"Apple will not be given Tariff waiver, or relief, for Mac Pro parts that are made in China. Make them in the USA, no Tariffs!",0
Q2 GDP Up 2.1% Not bad considering we have the very heavy weight of the Federal Reserve anchor wrapped around our neck. Almost no inflation. USA is set to Zoom!,0
"There may or may not be National Security concerns with regard to Google and their relationship with China. If there is a problem, we will find out about it. I sincerely hope there is not!!!",0
"....the fact that I have gone through a three year vicious Witch Hunt, perpetrated by the Lamestream Media in Collusion with Crooked and the Democrat Party, there can be NO WAY, with the greatest Economy in U.S. history, that I can be losing to the Sleepy One. KEEP AMERICA GREAT!",1
".@FoxNews is at it again. So different from what they used to be during the 2016 Primaries, & before - Proud Warriors! Now new Fox Polls, which have always been terrible to me (they had me losing BIG to Crooked Hillary), have me down to Sleepy Joe. Even considering.....",1
"“Taken for Granted,” a wonderful new book by Gianno Caldwell on how Conservatism can win back the Americans that Liberalism failed, has my full Endorsement!",0
“Intelligence Community disappointed Mueller didn’t investigate the Steele Dossier.” @TuckerCarlson @FoxNews ...And plenty of other things!,1
I am pleased to announce the House has passed our budget deal 284-149. Great for our Military and our Vets. A big thank you!,0
Give A$AP Rocky his FREEDOM. We do so much for Sweden but it doesn’t seem to work the other way around. Sweden should focus on its real crime problem! #FreeRocky,1
"Today, our distinguished delegation met with top officials at the @USArmyAfrica HQ. We thank our men and women in uniform for their service to our nation and commit to the pursuit of freedom across the world.pic.twitter.com/s3KpOUQpLv",0
".@RepCummings is a champion in the Congress and the country for civil rights and economic justice, a beloved leader in Baltimore, and deeply valued colleague. We all reject racist attacks against him and support his steadfast leadership. #ElijahCummingsIsAPatriothttps://twitter.com/realDonaldTrump/status/1155073964634517505 …",0
".@HouseDemocrats had a busy first #200DaysOfProgress:
-Strengthening pre-existing condition protections 
-Taking action to lower prescription drug prices
-Going toe-to-toe with Washington’s #CultureOfCorruption

And we’re only getting started. #ForThePeoplepic.twitter.com/ZSgnLeJgRc",0
"It’s been two years since Trump announced his hateful ban on trans Americans serving in the military. Democrats remain committed to ensuring that all who have the courage & ability to serve are allowed to do so, no matter who they are or who they love. #ProtectTransTroopshttps://twitter.com/realDonaldTrump/status/890196164313833472 …",0
"This evening’s Supreme Court ruling allowing @realDonaldTrump to steal military funds to spend on a wasteful, ineffective border wall rejected by Congress is deeply flawed. Our Founders designed a democracy governed by the people — not a monarchy.",0
"Robert Mueller raised the alarm: Russians attacked the 2016 election – and now they’ve set their sights on the 2020 election. The House has already taken action, passing the #ForThePeople Act & the #SAFEAct. The Senate must act to protect our democracy!pic.twitter.com/B9GxNoIiV6",0
"For 29 years, the ADA has stood as a promise to people living with disabilities: you have a right to live with dignity & respect. Democrats remain committed as ever to removing barriers and expanding possibilities for people with disabilities. #ADA29https://www.speaker.gov/newsroom/72619/ ",0
".@RepHaleyStevens has been fighting for working people since long before she came to Congress. Now, she’s bringing her expertise & experience to @HouseDemocrats’ fight to build a better future #ForThePeople. #200DaysOfProgresspic.twitter.com/7ATHBZarie",0
"I proudly stand with the California Democratic Delegation's clarion call to the Trump Admin: stop relitigating the bipartisan Farm Bill with this harmful proposal that steals food from nearly 168,000 Californians and millions across the country.https://twitter.com/RepJimmyPanetta/status/1154798798683672577 …",0
Reports that the Trump Administration is separating families on the basis of HIV status are outrageous. @DHSgov must clarify that this shameful policy will end immediately. #FamiliesBelongTogetherhttps://www.advocate.com/politics/2019/7/25/immigration-official-hiv-positive-status-justifies-family-separations …,0
"Over the #200DaysOfProgress, @HouseDemocrats have fought to raise wages, defend pre-existing condition protections, and lower prescription drug prices.
 
Tune in at 10:45 am ET as I speak with reporters live from the Capitol: https://www.facebook.com/NancyPelosi ",0
"Today, Congresswoman @RepAOC and I sat down to discuss working together to meet the needs of our districts and our country, fairness in our economy and diversity in our country.pic.twitter.com/eVp1LS0Gpw",0
"From fighting for lower prescription drug prices to raising the federal minimum wage, Dems have been hard at work #ForThePeople. Looking forward to spending the weeks to come talking w/ constituents about all we’ve achieved during the #200DaysOfProgress, and I know I’m not alone!",0
"PASSED! Today, the Select Committee on the Modernization of Congress advanced 24 bipartisan recommendations that make important strides to strengthen the capacity of the Legislative Branch so Congress can better serve the American people. Details here: https://modernizecongress.house.gov/news/press-releases/select-committee-unanimously-approves-second-round-congressional-recommendations …pic.twitter.com/jY5hDjyENG",0
"The interns of today are the leaders of tomorrow. We must make sure more young people are able to access these unrivaled opportunities, both on Capitol Hill & in communities across the country. In the meantime, thank you all for your hard work #ForThePeople! #NationalInternDaypic.twitter.com/VNQV9iPUQV",0
".@GavinNewsom & @AirResources show CA leadership in deal with @Ford, @Honda, @BMWUSA, & @VW that protects clean air & saves $ in the tank.
 
This deal works for consumers & manufacturers – not Big Oil. All automakers and the Administration should join it.https://www.sfchronicle.com/politics/article/California-reaches-fuel-efficiency-deal-with-4-14129955.php …",0
